Area Code,Area Name,Value
E09000001,City of London,215.669325
E09000002,Barking and Dagenham,403.9754811
E09000003,Barnet,230.847647
E09000004,Bexley,310.1933062
E09000005,Brent,288.26795
E09000006,Bromley,255.6067824
E09000007,Camden,280.7185124
E09000008,Croydon,310.1468868
E09000009,Ealing,308.583901
E09000010,Enfield,291.183415
E09000011,Greenwich,346.0065103
E09000012,Hackney,364.176721
E09000013,Hammersmith and Fulham,341.634617
E09000014,Haringey,307.4663381
E09000015,Harrow,235.1870504
E09000016,Havering,307.3187021
E09000017,Hillingdon,317.5405748
E09000018,Hounslow,309.3094365
E09000019,Islington,358.8930318
E09000020,Kensington and Chelsea,237.1663075
E09000021,Kingston upon Thames,260.4798664
E09000022,Lambeth,362.9250666
E09000023,Lewisham,345.979142
E09000024,Merton,279.4606196
E09000025,Newham,346.1017823
E09000026,Redbridge,270.2157326
E09000027,Richmond upon Thames,245.126179
E09000028,Southwark,350.5949907
E09000029,Sutton,282.8963822
E09000030,Tower Hamlets,336.4653667
E09000031,Waltham Forest,302.2922362
E09000032,Wandsworth,312.0572814
E09000033,Westminster,224.9632779
